Tanggal,Bawang Merah
01/04/2021,30960
02/04/2021,30740
03/04/2021,30350
04/04/2021,31150
05/04/2021,30650
06/04/2021,30550
07/04/2021,30370
08/04/2021,29670
09/04/2021,29920
10/04/2021,30010
11/04/2021,30160
12/04/2021,30440
13/04/2021,30590
14/04/2021,30750
15/04/2021,30320
16/04/2021,30620
17/04/2021,30760
18/04/2021,30590
19/04/2021,29750
20/04/2021,29640
21/04/2021,29660
22/04/2021,29790
23/04/2021,29720
24/04/2021,30120
25/04/2021,29540
26/04/2021,29790
27/04/2021,29440
28/04/2021,29010
29/04/2021,28510
30/04/2021,28880
01/05/2021,28840
02/05/2021,28810
03/05/2021,28710
04/05/2021,28720
05/05/2021,29220
06/05/2021,29010
07/05/2021,29260
08/05/2021,29120
09/05/2021,29510
10/05/2021,30820
11/05/2021,31520
12/05/2021,31640
13/05/2021,32030
14/05/2021,31520
15/05/2021,31240
16/05/2021,31300
17/05/2021,30510
18/05/2021,30530
19/05/2021,30350
20/05/2021,30120
21/05/2021,29970
22/05/2021,29510
23/05/2021,29490
24/05/2021,28850
25/05/2021,28870
26/05/2021,28950
27/05/2021,28720
28/05/2021,28440
29/05/2021,28440
30/05/2021,28800
31/05/2021,28440
01/06/2021,28330
02/06/2021,28770
03/06/2021,28940
04/06/2021,29130
05/06/2021,29060
06/06/2021,29020
07/06/2021,28710
08/06/2021,28970
09/06/2021,28740
10/06/2021,28840
11/06/2021,28500
12/06/2021,28440
13/06/2021,28510
14/06/2021,28340
15/06/2021,28220
16/06/2021,27770
17/06/2021,27910
18/06/2021,27920
19/06/2021,27830
20/06/2021,28020
21/06/2021,27830
22/06/2021,28190
23/06/2021,28030
24/06/2021,27920
25/06/2021,28450
26/06/2021,28480
27/06/2021,28470
28/06/2021,28530
29/06/2021,28680
30/06/2021,28680
01/07/2021,28650
02/07/2021,28880
03/07/2021,28770
04/07/2021,28380
05/07/2021,28950
06/07/2021,29040
07/07/2021,29290
08/07/2021,29420
09/07/2021,29530
10/07/2021,29440
11/07/2021,29620
12/07/2021,30060
13/07/2021,30130
14/07/2021,29950
15/07/2021,30320
16/07/2021,30470
17/07/2021,30440
18/07/2021,30900
19/07/2021,31480
20/07/2021,31490
21/07/2021,31360
22/07/2021,31510
23/07/2021,31980
24/07/2021,31710
25/07/2021,31890
26/07/2021,32380
27/07/2021,32670
28/07/2021,32490
29/07/2021,32240
30/07/2021,32160
31/07/2021,32500
01/08/2021,32270
02/08/2021,32320
03/08/2021,32050
04/08/2021,32250
05/08/2021,32290
06/08/2021,32000
07/08/2021,31670
08/08/2021,31620
09/08/2021,30650
10/08/2021,30510
11/08/2021,30600
12/08/2021,30480
13/08/2021,29970
14/08/2021,29830
15/08/2021,29920
16/08/2021,29480
17/08/2021,28960
18/08/2021,28850
19/08/2021,28780
20/08/2021,28540
21/08/2021,28180
22/08/2021,28380
23/08/2021,27130
24/08/2021,26520
25/08/2021,26570
26/08/2021,26800
27/08/2021,26700
28/08/2021,26570
29/08/2021,26550
30/08/2021,26800
31/08/2021,26220
01/09/2021,26230
02/09/2021,26530
03/09/2021,26290
04/09/2021,26500
05/09/2021,26470
06/09/2021,26310
07/09/2021,25820
08/09/2021,25500
09/09/2021,25730
10/09/2021,25730
11/09/2021,25680
12/09/2021,26030
13/09/2021,24990
14/09/2021,25190
15/09/2021,25160
16/09/2021,25200
17/09/2021,25140
18/09/2021,25470
19/09/2021,25000
20/09/2021,25510
21/09/2021,25180
22/09/2021,25090
23/09/2021,25190
24/09/2021,25060
25/09/2021,25230
26/09/2021,25090
27/09/2021,24980
28/09/2021,24980
29/09/2021,25090
30/09/2021,25270
01/10/2021,25200
02/10/2021,25150
03/10/2021,25350
04/10/2021,25330
05/10/2021,25180
06/10/2021,25410
07/10/2021,25390
08/10/2021,25800
09/10/2021,25500
10/10/2021,25580
11/10/2021,25970
13/10/2021,25690
14/10/2021,25630
15/10/2021,25490
16/10/2021,25270
17/10/2021,25390
18/10/2021,25040
19/10/2021,24860
20/10/2021,24890
21/10/2021,25110
22/10/2021,25170
23/10/2021,25250
24/10/2021,25070
25/10/2021,25460
26/10/2021,25240
27/10/2021,25120
28/10/2021,25030
29/10/2021,25240
30/10/2021,25150
31/10/2021,25270
01/11/2021,24920
02/11/2021,25550
03/11/2021,25510
04/11/2021,25100
05/11/2021,25120
06/11/2021,24810
07/11/2021,25000
08/11/2021,24790
09/11/2021,24590
10/11/2021,24850
11/11/2021,24620
12/11/2021,24760
13/11/2021,24620
14/11/2021,24530
15/11/2021,24240
16/11/2021,24070
17/11/2021,24190
18/11/2021,24080
19/11/2021,23870
20/11/2021,23750
21/11/2021,23690
22/11/2021,23040
23/11/2021,23230
24/11/2021,22840
25/11/2021,22440
26/11/2021,22400
27/11/2021,22520
28/11/2021,22340
29/11/2021,22370
30/11/2021,22120
01/12/2021,21950
02/12/2021,21890
03/12/2021,22460
04/12/2021,22820
05/12/2021,22940
06/12/2021,22960
07/12/2021,22870
08/12/2021,22840
09/12/2021,23270
10/12/2021,23140
11/12/2021,23210
12/12/2021,23100
13/12/2021,24720
14/12/2021,24660
15/12/2021,25330
16/12/2021,25010
17/12/2021,25110
18/12/2021,25200
19/12/2021,26010
20/12/2021,25440
21/12/2021,25520
22/12/2021,25920
23/12/2021,25960
24/12/2021,26770
25/12/2021,26540
26/12/2021,26380
27/12/2021,26220
28/12/2021,26580
29/12/2021,26190
30/12/2021,25970
31/12/2021,26060
01/01/2022,25800
02/01/2022,26010
03/01/2022,25910
04/01/2022,25950
05/01/2022,25700
06/01/2022,25730
07/01/2022,25670
08/01/2022,25720
09/01/2022,25830
10/01/2022,25390
11/01/2022,25310
12/01/2022,25540
13/01/2022,25270
14/01/2022,25750
15/01/2022,25740
16/01/2022,25250
17/01/2022,24720
18/01/2022,25130
19/01/2022,25600
20/01/2022,25750
21/01/2022,25470
22/01/2022,25400
23/01/2022,25740
24/01/2022,25980
25/01/2022,25470
26/01/2022,25740
27/01/2022,25560
28/01/2022,25740
29/01/2022,26050
30/01/2022,25430
31/01/2022,26120
01/02/2022,26240
02/02/2022,26970
03/02/2022,26680
04/02/2022,26780
05/02/2022,26930
06/02/2022,27120
07/02/2022,27310
08/02/2022,27530
09/02/2022,27700
10/02/2022,28770
11/02/2022,29290
12/02/2022,29700
13/02/2022,30160
14/02/2022,31570
15/02/2022,31130
16/02/2022,31600
17/02/2022,31860
18/02/2022,31550
19/02/2022,31230
20/02/2022,31910
21/02/2022,32210
22/02/2022,31970
23/02/2022,32380
24/02/2022,32760
25/02/2022,33000
26/02/2022,33000
27/02/2022,33430
28/02/2022,33300
01/03/2022,33090
02/03/2022,33190
03/03/2022,33340
04/03/2022,33430
05/03/2022,33200
06/03/2022,33570
07/03/2022,33290
08/03/2022,33500
09/03/2022,33600
10/03/2022,33080
11/03/2022,32760
12/03/2022,33300
13/03/2022,33060
14/03/2022,33020
15/03/2022,32440
16/03/2022,32700
17/03/2022,32150
18/03/2022,32040
19/03/2022,31860
20/03/2022,31820
21/03/2022,31950
22/03/2022,30600
23/03/2022,30800
24/03/2022,30780
25/03/2022,30770
26/03/2022,30540
27/03/2022,30620
28/03/2022,30880
29/03/2022,30230
30/03/2022,30220
31/03/2022,30450
01/04/2022,30600
02/04/2022,30870
03/04/2022,30860
04/04/2022,30650
05/04/2022,30950
06/04/2022,31330
07/04/2022,31930
08/04/2022,32090
09/04/2022,32060
10/04/2022,32280
11/04/2022,31860
12/04/2022,31650
13/04/2022,31510
14/04/2022,31120
15/04/2022,30580
16/04/2022,30920
17/04/2022,30340
18/04/2022,30880
19/04/2022,30730
20/04/2022,30760
21/04/2022,31410
22/04/2022,31280
23/04/2022,31640
24/04/2022,31500
25/04/2022,32840
26/04/2022,33720
27/04/2022,33350
28/04/2022,33940
29/04/2022,35190
30/04/2022,36540
01/05/2022,37240
02/05/2022,37750
03/05/2022,37420
04/05/2022,37450
05/05/2022,36800
06/05/2022,36140
07/05/2022,35730
08/05/2022,35950
09/05/2022,35330
10/05/2022,34960
11/05/2022,34650
12/05/2022,35600
13/05/2022,34940
14/05/2022,34880
15/05/2022,35300
16/05/2022,36250
17/05/2022,36270
18/05/2022,37260
19/05/2022,37670
20/05/2022,37680
21/05/2022,38100
22/05/2022,38780
23/05/2022,39500
24/05/2022,39430
25/05/2022,39400
26/05/2022,39070
27/05/2022,38920
28/05/2022,39950
29/05/2022,40510
30/05/2022,40140
31/05/2022,39660
01/06/2022,41290
02/06/2022,40890
03/06/2022,40680
04/06/2022,40850
05/06/2022,41980
06/06/2022,42010
07/06/2022,44260
08/06/2022,45340
09/06/2022,44770
14/07/2022,65350
15/07/2022,64380
16/07/2022,63830
17/07/2022,63260
18/07/2022,60720
19/07/2022,59560
20/07/2022,56900
21/07/2022,54020
22/07/2022,49570
23/07/2022,49370
24/07/2022,48230
25/07/2022,46450
26/07/2022,43790
27/07/2022,43460
28/07/2022,43330
29/07/2022,42610
30/07/2022,42280
31/07/2022,42000
01/08/2022,40150
02/08/2022,38190
03/08/2022,38050
04/08/2022,38520
05/08/2022,37420
06/08/2022,38680
07/08/2022,38550
08/08/2022,37030
09/08/2022,37330
10/08/2022,36470
11/08/2022,36050
12/08/2022,35140
13/08/2022,35670
14/08/2022,35160
15/08/2022,34410
16/08/2022,33910
17/08/2022,34130
18/08/2022,33190
19/08/2022,33030
20/08/2022,33430
21/08/2022,33440
22/08/2022,32950
23/08/2022,32710
24/08/2022,32740
25/08/2022,31960
26/08/2022,31710
27/08/2022,31400
28/08/2022,31440
29/08/2022,31020
30/08/2022,30840
31/08/2022,31060
01/09/2022,30650
02/09/2022,30980
03/09/2022,30520
04/09/2022,30820
05/09/2022,31200
06/09/2022,32440
07/09/2022,32710
08/09/2022,32780
09/09/2022,32280
10/09/2022,32820
11/09/2022,32800
12/09/2022,33240
13/09/2022,32610
14/09/2022,32770
15/09/2022,32710
16/09/2022,32530
17/09/2022,32370
18/09/2022,32660
19/09/2022,31600
20/09/2022,31740
21/09/2022,31740
22/09/2022,31590
23/09/2022,31570
24/09/2022,30350
25/09/2022,30950
26/09/2022,31040
27/09/2022,30720
28/09/2022,30760
29/09/2022,30380
30/09/2022,30810
01/10/2022,30710
02/10/2022,30590
03/10/2022,31570
04/10/2022,31840
05/10/2022,32030
06/10/2022,32480
07/10/2022,31010
08/10/2022,31660
09/10/2022,31600
10/10/2022,31650
11/10/2022,31720
12/10/2022,32120
13/10/2022,32300
14/10/2022,32330
15/10/2022,32040
16/10/2022,32120
17/10/2022,31280
18/10/2022,31520
19/10/2022,31250
20/10/2022,31340
21/10/2022,31480
22/10/2022,31090
23/10/2022,31990
24/10/2022,31880
25/10/2022,32070
26/10/2022,31620
27/10/2022,31960
28/10/2022,32600
29/10/2022,32370
30/10/2022,32200
31/10/2022,31920
01/11/2022,32610
02/11/2022,32790
03/11/2022,32350
04/11/2022,32050
05/11/2022,32180
06/11/2022,31370
07/11/2022,31110
08/11/2022,31240
09/11/2022,31290
10/11/2022,31800
11/11/2022,31080
12/11/2022,30980
13/11/2022,31270
14/11/2022,30720
15/11/2022,30620
16/11/2022,30710
17/11/2022,30880
18/11/2022,30550
19/11/2022,30430
20/11/2022,30480
21/11/2022,30100
22/11/2022,30220
23/11/2022,30170
24/11/2022,29600
25/11/2022,29810
26/11/2022,30000
27/11/2022,30140
28/11/2022,30180
29/11/2022,30690
30/11/2022,30440
01/12/2022,30450
02/12/2022,29980
03/12/2022,30110
04/12/2022,30620
05/12/2022,30430
06/12/2022,30210
07/12/2022,29990
08/12/2022,30770
09/12/2022,30730
10/12/2022,30820
11/12/2022,30760
12/12/2022,30830
13/12/2022,30940
14/12/2022,31280
15/12/2022,31220
16/12/2022,31950
17/12/2022,31800
18/12/2022,31890
19/12/2022,31500
20/12/2022,31910
21/12/2022,31220
22/12/2022,30910
23/12/2022,31540
24/12/2022,31510
25/12/2022,31560
26/12/2022,31490
27/12/2022,31550
28/12/2022,31860
29/12/2022,31760
30/12/2022,31710
31/12/2022,32860
01/01/2023,31750
02/01/2023,31750
03/01/2023,33230
04/01/2023,33290
05/01/2023,33650
06/01/2023,33760
07/01/2023,33420
08/01/2023,33710
09/01/2023,32480
10/01/2023,34110
11/01/2023,34060
12/01/2023,34280
13/01/2023,34200
14/01/2023,34350
15/01/2023,34480
16/01/2023,35060
17/01/2023,34760
18/01/2023,35240
19/01/2023,35620
20/01/2023,35450
21/01/2023,35670
22/01/2023,35650
23/01/2023,36170
24/01/2023,36380
25/01/2023,36750
26/01/2023,37080
27/01/2023,37930
28/01/2023,38110
29/01/2023,38450
30/01/2023,40020
31/01/2023,40390
01/02/2023,41040
02/02/2023,40870
03/02/2023,40790
04/02/2023,40710
05/02/2023,40910
06/02/2023,40610
07/02/2023,41800
08/02/2023,41470
09/02/2023,41750
10/02/2023,40840
11/02/2023,40840
12/02/2023,41810
13/02/2023,39300
14/02/2023,38500
15/02/2023,38830
16/02/2023,38760
17/02/2023,37720
18/02/2023,36950
19/02/2023,36260
20/02/2023,35950
21/02/2023,35730
22/02/2023,35540
23/02/2023,35170
24/02/2023,34780
25/02/2023,34140
26/02/2023,34620
27/02/2023,34920
28/02/2023,34430
01/03/2023,34790
02/03/2023,34920
03/03/2023,34560
04/03/2023,34800
05/03/2023,35350
06/03/2023,36120
07/03/2023,35720
08/03/2023,35350
09/03/2023,34840
10/03/2023,34610
11/03/2023,34770
12/03/2023,34390
13/03/2023,34390
14/03/2023,33700
15/03/2023,34270
16/03/2023,33610
17/03/2023,33980
18/03/2023,34230
19/03/2023,34310
20/03/2023,34890
21/03/2023,35340
22/03/2023,35290
23/03/2023,34780
24/03/2023,34960
25/03/2023,34750
26/03/2023,34560
27/03/2023,34970
28/03/2023,34510
29/03/2023,34370
30/03/2023,33780
31/03/2023,33410
01/04/2023,33240
02/04/2023,32720
03/04/2023,33190
04/04/2023,33140
05/04/2023,33680
06/04/2023,33350
07/04/2023,32910
08/04/2023,33060
09/04/2023,32770
10/04/2023,33090
11/04/2023,33210
12/04/2023,32870
13/04/2023,32300
14/04/2023,32400
15/04/2023,32550
16/04/2023,32420
17/04/2023,34460
18/04/2023,36100
19/04/2023,37380
20/04/2023,38040
21/04/2023,39850
22/04/2023,38620
23/04/2023,38150
24/04/2023,38400
25/04/2023,37480
26/04/2023,39210
27/04/2023,38400
28/04/2023,38320
29/04/2023,39370
30/04/2023,38810
01/05/2023,38540
02/05/2023,38240
03/05/2023,38390
04/05/2023,39560
05/05/2023,39160
06/05/2023,38400
07/05/2023,38970
08/05/2023,38970
09/05/2023,39000
10/05/2023,39360
11/05/2023,38390
12/05/2023,38890
13/05/2023,39070
14/05/2023,38970
15/05/2023,38850
16/05/2023,39090
17/05/2023,39110
18/05/2023,39860
19/05/2023,39000
20/05/2023,39220
21/05/2023,39990
22/05/2023,39730
23/05/2023,39860
24/05/2023,39790
25/05/2023,39130
26/05/2023,38990
27/05/2023,39040
28/05/2023,39090
29/05/2023,39040
30/05/2023,39020
31/05/2023,39770
01/06/2023,39370
02/06/2023,39010
03/06/2023,38960
04/06/2023,39180
05/06/2023,39100
06/06/2023,39120
07/06/2023,39250
08/06/2023,39520
09/06/2023,38910
10/06/2023,39050
11/06/2023,39210
12/06/2023,39080
13/06/2023,38960
14/06/2023,39250
15/06/2023,39470
16/06/2023,39660
17/06/2023,38970
18/06/2023,39420
19/06/2023,38940
20/06/2023,38690
21/06/2023,39170
22/06/2023,38290
23/06/2023,38240
24/06/2023,38290
25/06/2023,38270
26/06/2023,38880
27/06/2023,39400
28/06/2023,39590
29/06/2023,39660
30/06/2023,39470
01/07/2023,40750
02/07/2023,39350
03/07/2023,39290
04/07/2023,39180
05/07/2023,38980
06/07/2023,38090
07/07/2023,36920
08/07/2023,37010
09/07/2023,37140
10/07/2023,34990
11/07/2023,34590
12/07/2023,34010
13/07/2023,34220
14/07/2023,33570
15/07/2023,33450
16/07/2023,33210
17/07/2023,33200
18/07/2023,32290
19/07/2023,32190
20/07/2023,31830
21/07/2023,32220
22/07/2023,31230
23/07/2023,31110
24/07/2023,31400
25/07/2023,31350
26/07/2023,30720
27/07/2023,30420
28/07/2023,30340
29/07/2023,30030
30/07/2023,30020
31/07/2023,29930
01/08/2023,29580
02/08/2023,29860
03/08/2023,29480
04/08/2023,29850
05/08/2023,29680
06/08/2023,29490
07/08/2023,28710
08/08/2023,29670
09/08/2023,29500
10/08/2023,29320
11/08/2023,29280
12/08/2023,29280
13/08/2023,29190
14/08/2023,28880
15/08/2023,29170
16/08/2023,28770
17/08/2023,28390
18/08/2023,28440
19/08/2023,28770
20/08/2023,28390
21/08/2023,27810
22/08/2023,27300
23/08/2023,27150
24/08/2023,26990
25/08/2023,26990
26/08/2023,26620
27/08/2023,26670
28/08/2023,26460
29/08/2023,25320
30/08/2023,25620
31/08/2023,25490
01/09/2023,25790
02/09/2023,25420
03/09/2023,25310
04/09/2023,25300
05/09/2023,24680
06/09/2023,24890
07/09/2023,25270
08/09/2023,24740
09/09/2023,25040
10/09/2023,24880
11/09/2023,24530
12/09/2023,24370
13/09/2023,24430
14/09/2023,24070
15/09/2023,24230
16/09/2023,23850
17/09/2023,24120
18/09/2023,23120
19/09/2023,23330
20/09/2023,22970
21/09/2023,22800
22/09/2023,22530
23/09/2023,22630
24/09/2023,23180
25/09/2023,22890
26/09/2023,23350
27/09/2023,23330
28/09/2023,23290
29/09/2023,23150
30/09/2023,23100
01/10/2023,23070
02/10/2023,22860
03/10/2023,23300
04/10/2023,22970
05/10/2023,22790
06/10/2023,23140
07/10/2023,23360
08/10/2023,23630
09/10/2023,22850
10/10/2023,22910
11/10/2023,22540
12/10/2023,22470
13/10/2023,22570
14/10/2023,22580
15/10/2023,22710
16/10/2023,22890
17/10/2023,22890
18/10/2023,22870
19/10/2023,22940
20/10/2023,22810
21/10/2023,23040
22/10/2023,22970
23/10/2023,22740
24/10/2023,22170
25/10/2023,22000
26/10/2023,22500
27/10/2023,22020
28/10/2023,22680
29/10/2023,22780
30/10/2023,23400
31/10/2023,23500
01/11/2023,23540
02/11/2023,23910
03/11/2023,24480
04/11/2023,24340
05/11/2023,25190
06/11/2023,26390
07/11/2023,27080
08/11/2023,27140
09/11/2023,27670
10/11/2023,28040
11/11/2023,27980
12/11/2023,27830
13/11/2023,28210
14/11/2023,27750
15/11/2023,27970
16/11/2023,28160
17/11/2023,28860
18/11/2023,28500
19/11/2023,28440
20/11/2023,28400
21/11/2023,29230
22/11/2023,28910
23/11/2023,29100
24/11/2023,29010
25/11/2023,28850
26/11/2023,28750
27/11/2023,29010
28/11/2023,28730
29/11/2023,28840
30/11/2023,28550
01/12/2023,28780
02/12/2023,28860
03/12/2023,29060
04/12/2023,29530
05/12/2023,29480
06/12/2023,29680
07/12/2023,30550
08/12/2023,30700
09/12/2023,31300
10/12/2023,30910
11/12/2023,30020
12/12/2023,30100
13/12/2023,30070
14/12/2023,30010
15/12/2023,30230
16/12/2023,30250
17/12/2023,30190
18/12/2023,31110
19/12/2023,31920
20/12/2023,32080
21/12/2023,32670
22/12/2023,33110
23/12/2023,33720
24/12/2023,34460
25/12/2023,34280
26/12/2023,34500
27/12/2023,34730
28/12/2023,35720
29/12/2023,36100
30/12/2023,36930
31/12/2023,36470
01/01/2024,36400
02/01/2024,36330
03/01/2024,37360
04/01/2024,37770
05/01/2024,37890
06/01/2024,37300
07/01/2024,37770
08/01/2024,36820
09/01/2024,36020
10/01/2024,35570
11/01/2024,34980
12/01/2024,35150
13/01/2024,34000
14/01/2024,33600
15/01/2024,32600
16/01/2024,31930
17/01/2024,31810
18/01/2024,30630
19/01/2024,30200
20/01/2024,29900
21/01/2024,29940
22/01/2024,29660
23/01/2024,29390
24/01/2024,28980
25/01/2024,29060
26/01/2024,29180
27/01/2024,28700
28/01/2024,28770
29/01/2024,28530
30/01/2024,28360
31/01/2024,28350
01/02/2024,28340
02/02/2024,28520
03/02/2024,28380
04/02/2024,28140
05/02/2024,28420
06/02/2024,27850
07/02/2024,28500
08/02/2024,28130
09/02/2024,27020
10/02/2024,28210
11/02/2024,28240
12/02/2024,28200
13/02/2024,28900
14/02/2024,28730
15/02/2024,28990
16/02/2024,29240
17/02/2024,29730
18/02/2024,29610
19/02/2024,29930
20/02/2024,30290
21/02/2024,30270
22/02/2024,30090
23/02/2024,30290
24/02/2024,30050
25/02/2024,30820
26/02/2024,31030
27/02/2024,30700
28/02/2024,30490
29/02/2024,30540
01/03/2024,30460
02/03/2024,30330
03/03/2024,30250
04/03/2024,30540
05/03/2024,30460
06/03/2024,30300
07/03/2024,30370
08/03/2024,30060
09/03/2024,29970
10/03/2024,30100
11/03/2024,30500
12/03/2024,30850
13/03/2024,30770
14/03/2024,31390
15/03/2024,31660
16/03/2024,31350
17/03/2024,30960
18/03/2024,31220
19/03/2024,31580
20/03/2024,31180
21/03/2024,30710
22/03/2024,30330
23/03/2024,29960
24/03/2024,30640
25/03/2024,30690
26/03/2024,30720
27/03/2024,31020
28/03/2024,31010
29/03/2024,31610
30/03/2024,31410
31/03/2024,32110
01/04/2024,34200
